d,dK,hK,fu,rK,mb
3290,13160,4,-32224*u + 1848321,15.1229353979580,sqrt(3290)
3291,13164,2,-308177723658267*u + 17679304830821210,38.1043183123834,sqrt(3291)
3293,3293,2,-13*u + 746,7.30787322998679,1/2*sqrt(3293)
3295,13180,2,-30826366428*u + 1769497877159,28.8948641176071,sqrt(3295)
3297,3297,2,-82268988*u + 4723844887,22.9690360802050,1/2*sqrt(3297)
3298,13192,8,-2814*u + 161603,12.6860451698036,sqrt(3298)
3299,13196,1,-5270787515411221348440849*u - 302737810995911463388788050,61.6680565330849,sqrt(3299)
3301,3301,1,27909864538036801*u - 1603542558740706870,42.6118941354058,1/2*sqrt(3301)
3302,13208,2,291952*u - 16776447,17.3286336769763,sqrt(3302)
3305,3305,6,-92*u + 5289,9.26653164268890,1/2*sqrt(3305)
3306,13224,16,2*u - 115,5.43806040479547,sqrt(3306)
3307,13228,1,1812115585135932718393107*u - 104208463620296419822015562,60.6015827632007,sqrt(3307)
3309,3309,1,-4436263/2*u + 255191185/2,19.3575235673023,1/2*sqrt(3309)
3310,13240,2,-94385034246*u + 5430216369781,30.0161472767456,sqrt(3310)
3311,13244,4,-195328*u + 11239425,16.9280854250976,sqrt(3311)
3313,3313,1,23584833210518822858645209158665*u + 1357511530935467298534271768858632,76.9841085163968,1/2*sqrt(3313)
3314,13256,4,30697*u - 1767145,15.0780229884838,sqrt(3314)
3315,13260,8,-217*u - 12494,10.1261509870119,sqrt(3315)
3317,3317,1,91/2*u - 5241/2,8.56426756239627,1/2*sqrt(3317)
3318,13272,4,480*u - 27649,10.9204920201641,sqrt(3318)
3319,13276,1,-11657940896472359625043172719821996271285480583681739*u - 671622868694618180588582864545538521992490143004912760,124.634683898944,sqrt(3319)
3322,13288,2,7130923784923200*u + 411003583823359999,41.2505255096937,sqrt(3322)
3323,13292,1,10160962912971*u - 585733464128762,34.6970331432240,sqrt(3323)
3326,13304,1,25919181962970690309154678832*u - 1494797672868137785177365350655,70.1726908321911,sqrt(3326)
3327,13308,2,-80631625177*u + 4650844441828,29.8612170999935,sqrt(3327)
3329,3329,1,398187115544992467645737*u - 22974395901623422122762860,59.0895697865862,1/2*sqrt(3329)
3331,13324,1,67515452551331189136816152107604558605530293860977*u + 3896641929395876391261634122890971172755584821846810,119.485102061736,sqrt(3331)
3333,3333,2,56*u - 3233,8.77431293436717,1/2*sqrt(3333)
3334,13336,1,4097896556739353134495729190353304459906567382400709406*u - 236615826048429494541160021116112041696922702648911365765,130.499180041015,sqrt(3334)
3335,13340,4,-4*u - 231,6.13556020597919,sqrt(3335)
3337,3337,1,-17288398001052909929888104392*u + 998694953458090630415131953887,69.7693940715245,1/2*sqrt(3337)
3338,13352,2,58097*u + 3356579,15.7195800390658,sqrt(3338)
3341,3341,4,5/2*u - 289/2,5.66643866093413,1/2*sqrt(3341)
3342,13368,2,-6721964362*u - 388596986507,27.3789557996770,sqrt(3342)
3343,13372,1,-172249410447645778961383785*u - 9959233904911272726432090224,65.1614448428598,sqrt(3343)
3345,3345,2,193885926548*u - 11213581593641,30.7412939824221,1/2*sqrt(3345)
3346,13384,4,29988510*u + 1734673949,21.9672324875965,sqrt(3346)
3347,13388,1,-4877635451882313*u + 282187124940320162,40.8744939899659,sqrt(3347)
3349,3349,2,-145657*u + 8429250,16.6403655386086,1/2*sqrt(3349)
3351,13404,2,174768221838268*u + 10116951813786265,37.5461359897875,sqrt(3351)
3353,3353,1,-1653486357184429176*u + 95745284209059341023,46.7013702302203,1/2*sqrt(3353)
3354,13416,4,289680*u + 16776449,17.3286337961910,sqrt(3354)
3355,13420,4,-12858286212*u - 744782306489,28.0295049871304,sqrt(3355)
3358,13432,4,11157024*u - 646530047,20.9802774120676,sqrt(3358)
3359,13436,1,-25845089375902831*u - 1497900757074978480,42.5437434870694,sqrt(3359)
3361,3361,1,-71845400189696526470403056890448833947665*u - 4165174725868256674462569948586469441849832,98.8284793120375,1/2*sqrt(3361)
3363,13452,8,-u - 58,4.75351586653050,sqrt(3363)
3365,3365,2,u - 58,4.75366449911350,1/2*sqrt(3365)
3367,13468,4,172276197*u - 9996473852,23.7186454335172,sqrt(3367)
3369,3369,1,91601945799309592922001778259164*u + 5316859750044758219972234864466775,78.3493381058896,1/2*sqrt(3369)
3370,13480,4,2089868801*u + 121320438963,26.2148483185447,sqrt(3370)
3371,13484,1,961874449605786830417793468963*u - 55846732060951888439150748713330,73.7933109813995,sqrt(3371)
3373,3373,1,126589/2*u - 7351977/2,15.8104798146123,1/2*sqrt(3373)
3374,13496,2,2232111124*u + 129654725775,26.2812879790774,sqrt(3374)
3377,3377,1,-605576862740*u + 35191258971351,31.8849660235773,1/2*sqrt(3377)
3378,13512,2,-317973016*u + 18480771137,24.3331438110419,sqrt(3378)
3379,13516,10,240*u + 13951,10.2364536485436,sqrt(3379)
3382,13528,2,-675577397947057962*u + 39288180198711355397,45.8106025697886,sqrt(3382)
3383,13532,2,507198421*u - 29500467048,24.8008191128624,sqrt(3383)
3385,3385,2,-65683537180389629*u + 3821517641768256528,43.4803264865941,1/2*sqrt(3385)
3386,13544,2,286253965*u + 16656931043,24.2292394261717,sqrt(3386)
3387,13548,4,-485*u - 28226,10.9411459982201,sqrt(3387)
3389,3389,1,-2168893081/2*u + 126262367315/2,25.5616278592349,1/2*sqrt(3389)
3390,13560,4,44840*u - 2610751,15.4682956579333,sqrt(3390)
3391,13564,3,-3337904170017*u + 194373815123600,33.5939514835763,sqrt(3391)
3394,13576,6,55986*u + 3261635,15.6908863419191,sqrt(3394)
3395,13580,4,-15*u - 874,7.46622722893707,sqrt(3395)
3397,3397,1,1592717249295/2*u - 92829595272077/2,32.1617866194481,1/2*sqrt(3397)
3398,13592,1,-2378396877450*u - 138642382622501,33.2560661274269,sqrt(3398)
3399,13596,8,-1060*u + 61799,11.7247896425796,sqrt(3399)
3401,3401,1,148730497589775180*u - 8673679027156844951,44.2999718951643,1/2*sqrt(3401)
3403,13612,8,-525*u + 30626,11.0227517806686,sqrt(3403)
3405,3405,2,-105/2*u + 6127/2,8.72046048608749,1/2*sqrt(3405)
3406,13624,2,324348420033304126291290*u - 18929280576688880627488949,58.8958993725151,sqrt(3406)
3407,13628,1,83357447869687*u + 4865533602904128,36.8140999670887,sqrt(3407)
3409,3409,1,10184505496055263036236784266291467254944*u + 594639079481835048963894973157738726206975,96.8819204397176,1/2*sqrt(3409)
